GeneA,GeneB,UniprotA-293T,UniprotB-293T,SymbolA-293T,SymbolB-293T,UniprotA-HCT116,UniprotB-HCT116,SymbolA-HCT116,SymbolB-HCT116
1,10422,P04217-2,Q9BSL1,A1BG,UBAC1,P04217,Q9BSL1,A1BG,UBAC1
1,23352,P04217-2,Q5T4S7-2,A1BG,UBR4,P04217,Q5T4S7-2,A1BG,UBR4
1,56888,P04217-2,Q9P0J7,A1BG,KCMF1,P04217,Q9P0J7,A1BG,KCMF1
1,63891,P04217-2,Q5XPI4,A1BG,RNF123,P04217,Q5XPI4-2,A1BG,RNF123
12,5875,,,,,P01011,Q92696,SERPINA3,RABGGTA
14,427,Q13685,Q13510-2,AAMP,ASAH1,Q13685,Q13510-2,AAMP,ASAH1
14,6134,Q13685,P27635,AAMP,RPL10,Q13685,P27635,AAMP,RPL10
14,10076,Q13685,Q92729-2,AAMP,PTPRU,Q13685,Q92729-2,AAMP,PTPRU
20,509,,,,,Q9BZC7-2,P36542-2,ABCA2,ATP5C1
20,3956,Q9BZC7-3,P09382,ABCA2,LGALS1,Q9BZC7-2,P09382,ABCA2,LGALS1
20,5445,Q9BZC7-3,Q15165-1,ABCA2,PON2,Q9BZC7-2,Q15165-1,ABCA2,PON2
20,5727,Q9BZC7-3,Q13635-2,ABCA2,PTCH1,Q9BZC7-2,Q13635-2,ABCA2,PTCH1
20,26232,Q9BZC7-3,Q9UK22,ABCA2,FBXO2,Q9BZC7-2,Q9UK22,ABCA2,FBXO2
20,79630,Q9BZC7-3,Q8WWF1,ABCA2,C1orf54,Q9BZC7-2,Q8WWF1,ABCA2,C1orf54
20,79669,Q9BZC7-3,Q5BVD1-2,ABCA2,C3orf52,Q9BZC7-2,Q5BVD1,ABCA2,C3orf52
20,84885,Q9BZC7-3,Q96GR4-3,ABCA2,ZDHHC12,,,,
21,56674,Q99758,Q9NQ34,ABCA3,TMEM9B,Q99758,Q9NQ34,ABCA3,TMEM9B
22,360,,,,,O75027-2,,ABCB7,AQP3
22,3820,,,,,O75027-2,Q12918,ABCB7,KLRB1
22,11326,,,,,O75027-2,Q9Y279,ABCB7,VSIG4
22,29121,,,,,O75027-2,Q9UHP7-2,ABCB7,CLEC2D
22,93377,,,,,O75027-2,,ABCB7,OPALIN
30,5191,P09110,O00628,ACAA1,PEX7,P09110,O00628,ACAA1,PEX7
30,5830,P09110,P50542-2,ACAA1,PEX5,P09110,P50542-2,ACAA1,PEX5
30,83696,P09110,Q96Q05-2,ACAA1,TRAPPC9,,,,
30,441150,P09110,Q5I0X4,ACAA1,C6orf226,P09110,Q5I0X4,ACAA1,C6orf226
31,7069,Q13085-4,Q92748,ACACA,THRSP,Q13085-2,Q92748,ACACA,THRSP
31,23467,Q13085-4,O95502,ACACA,NPTXR,Q13085-2,O95502,ACACA,NPTXR
31,58526,Q13085-4,Q9NPA3,ACACA,MID1IP1,Q13085-2,Q9NPA3,ACACA,MID1IP1
32,58526,O00763-2,Q9NPA3,ACACB,MID1IP1,O00763-2,Q9NPA3,ACACB,MID1IP1
40,41,C9J4T5,P78348-1,ACCN1,ACCN2,Q16515-2,P78348-1,ACCN1,ACCN2
40,7095,C9J4T5,Q99442,ACCN1,SEC62,Q16515-2,Q99442,ACCN1,SEC62
40,10730,,,,,Q16515-2,Q96TA2-2,ACCN1,YME1L1
41,1209,,,,,P78348-1,O96005,ACCN2,CLPTM1
41,1800,P78348-1,P16444,ACCN2,DPEP1,P78348-1,P16444,ACCN2,DPEP1
41,3163,P78348-1,P30519,ACCN2,HMOX2,,,,
41,7379,,,,,P78348-1,O00526,ACCN2,UPK2
41,8795,P78348-1,O14763-2,ACCN2,TNFRSF10B,P78348-1,O14763-2,ACCN2,TNFRSF10B
41,11000,P78348-1,Q5K4L6,ACCN2,SLC27A3,P78348-1,Q5K4L6,ACCN2,SLC27A3
41,22953,,,,,P78348-1,Q9UBL9-2,ACCN2,P2RX2
41,54953,,,,,P78348-1,Q5SWX8-3,ACCN2,C1orf27
41,55325,P78348-1,Q9NUQ7,ACCN2,UFSP2,P78348-1,Q9NUQ7,ACCN2,UFSP2
41,405753,,,,,P78348-1,Q1HG44,ACCN2,DUOXA2
41,100101267,,,,,P78348-1,A8CG34,ACCN2,POM121C
51,402,Q15067-2,P36404,ACOX1,ARL2,Q15067-2,P36404,ACOX1,ARL2
51,2307,,,,,Q15067-2,O43638,ACOX1,FOXS1
51,9230,Q15067-2,Q15907,ACOX1,RAB11B,Q15067-2,Q15907,ACOX1,RAB11B
51,11072,Q15067-2,O95147,ACOX1,DUSP14,Q15067-2,O95147,ACOX1,DUSP14
51,64342,Q15067-2,Q53T59,ACOX1,HS1BP3,,,,
51,79876,Q15067-2,Q9GZZ9-2,ACOX1,UBA5,Q15067-2,Q9GZZ9,ACOX1,UBA5
51,84908,,,,,Q15067-2,Q96C01,ACOX1,FAM136A
51,91653,Q15067-2,Q9BWV1-3,ACOX1,BOC,,,,
51,202559,Q15067-2,Q5VWX1,ACOX1,KHDRBS2,,,,
51,375323,,,,,Q15067-2,Q7Z7J7,ACOX1,LHFPL4
53,728,P11117,P21730,ACP2,C5AR1,P11117,P21730,ACP2,C5AR1
53,1317,P11117,O15431,ACP2,SLC31A1,P11117,O15431,ACP2,SLC31A1
53,1318,P11117,,ACP2,SLC31A2,P11117,O15432,ACP2,SLC31A2
53,1901,P11117,P21453,ACP2,S1PR1,P11117,P21453,ACP2,S1PR1
53,8324,,,,,P11117,O75084,ACP2,FZD7
53,26232,P11117,Q9UK22,ACP2,FBXO2,P11117,Q9UK22,ACP2,FBXO2
53,55194,P11117,Q9NVM1,ACP2,FAM176B,P11117,Q9NVM1,ACP2,FAM176B
53,201931,P11117,Q8IY95-2,ACP2,TMEM192,P11117,Q8IY95-2,ACP2,TMEM192
54,3309,P13686,P11021,ACP5,HSPA5,,,,
54,3482,,,,,P13686,P11717,ACP5,IGF2R
54,50840,P13686,,ACP5,TAS2R14,,,,
58,59,P68133,P62736,ACTA1,ACTA2,P68133,P62736,ACTA1,ACTA2
58,10487,P68133,Q01518-2,ACTA1,CAP1,P68133,Q01518-2,ACTA1,CAP1
59,60,P62736,P60709,ACTA2,ACTB,P62736,P60709,ACTA2,ACTB
59,1627,P62736,Q16643-2,ACTA2,DBN1,P62736,Q16643-2,ACTA2,DBN1
59,2934,P62736,P06396-2,ACTA2,GSN,P62736,P06396-2,ACTA2,GSN
59,4216,P62736,Q9Y6R4-2,ACTA2,MAP3K4,P62736,Q9Y6R4-2,ACTA2,MAP3K4
59,9749,P62736,O75167-2,ACTA2,PHACTR2,P62736,O75167-2,ACTA2,PHACTR2
59,10486,P62736,P40123,ACTA2,CAP2,P62736,P40123,ACTA2,CAP2
59,10487,P62736,Q01518-2,ACTA2,CAP1,P62736,Q01518-2,ACTA2,CAP1
59,11344,P62736,Q6IBS0,ACTA2,TWF2,P62736,Q6IBS0,ACTA2,TWF2
59,53917,,,,,P62736,Q969Q5,ACTA2,RAB24
59,54434,P62736,Q8WYL5,ACTA2,SSH1,,,,
59,55222,P62736,Q8TCA0,ACTA2,LRRC20,P62736,Q8TCA0-3,ACTA2,LRRC20
59,79031,,,,,P62736,Q9H2J4,ACTA2,PDCL3
59,84085,,,,,P62736,Q8TB52,ACTA2,FBXO30
59,137735,P62736,Q8N0Z2,ACTA2,ABRA,P62736,Q8N0Z2,ACTA2,ABRA
59,339302,P62736,Q7Z7G2,ACTA2,CPLX4,,,,
59,345456,P62736,P60673,ACTA2,PFN3,P62736,P60673,ACTA2,PFN3
60,70,P60709,P68032,ACTB,ACTC1,P60709,P68032,ACTB,ACTC1
60,1627,P60709,Q16643-2,ACTB,DBN1,P60709,Q16643-2,ACTB,DBN1
60,2638,P60709,D6RAK8,ACTB,GC,P60709,P02774-2,ACTB,GC
60,2934,P60709,P06396-2,ACTB,GSN,,,,
60,3458,,,,,P60709,P01579,ACTB,IFNG
60,4216,P60709,Q9Y6R4-2,ACTB,MAP3K4,P60709,Q9Y6R4-2,ACTB,MAP3K4
60,4430,P60709,O43795-2,ACTB,MYO1B,,,,
60,9703,P60709,Q14667-2,ACTB,KIAA0100,P60709,Q14667-2,ACTB,KIAA0100
60,9749,P60709,O75167-2,ACTB,PHACTR2,,,,
60,9911,P60709,O75069,ACTB,TMCC2,P60709,O75069,ACTB,TMCC2
60,10486,P60709,P40123,ACTB,CAP2,P60709,P40123,ACTB,CAP2
60,10487,P60709,Q01518-2,ACTB,CAP1,P60709,Q01518-2,ACTB,CAP1
60,11344,P60709,Q6IBS0,ACTB,TWF2,P60709,Q6IBS0,ACTB,TWF2
60,23242,P60709,O75128-2,ACTB,COBL,P60709,O75128-2,ACTB,COBL
60,23462,P60709,Q9Y5J3-2,ACTB,HEY1,,,,
60,29766,P60709,Q9NYL9,ACTB,TMOD3,,,,
60,51725,,,,,P60709,Q9UH90,ACTB,FBXO40
60,54434,P60709,Q8WYL5,ACTB,SSH1,,,,
60,55222,P60709,Q8TCA0,ACTB,LRRC20,P60709,Q8TCA0-3,ACTB,LRRC20
60,55975,P60709,Q8IXQ5-2,ACTB,KLHL7,,,,
60,137735,P60709,Q8N0Z2,ACTB,ABRA,,,,
60,345456,P60709,P60673,ACTB,PFN3,P60709,P60673,ACTB,PFN3
