GeneA,GeneB,UniprotA,UniprotB,SymbolA,SymbolB,pW,pNI,pInt,Shared
88455,115106,Q8IZ07,Q96CS2,ANKRD13A,HAUS1,0.0003959215141297,3.29800299052e-05,0.999571098455965,False
88455,93323,Q8IZ07,Q9BT25-2,ANKRD13A,HAUS8,0.044884728331024,0.0019347307607752,0.953180540908201,False
286499,326625,Q8N9E0,Q96EY8,FAM133A,MMAB,7.40239368323e-05,0.0009296225615076,0.99899635350166,False
286499,374659,Q8N9E0,Q8N4P3-2,FAM133A,HDDC3,9.18095946902916e-07,0.0001278317858927,0.99987125011816,False
2205,51119,P12319,Q9Y3A5,FCER1A,SBDS,8.70939403623511e-07,0.0014954801120866,0.99850364894851,False
2205,6337,P12319,P37088-2,FCER1A,SCNN1A,9.14765890794484e-06,0.0020614830940198,0.997929369247072,False
2205,54863,P12319,Q9NXH8,FCER1A,C9orf167,1.45557970431e-05,0.010809164100567,0.98917628010239,False
2205,5313,P12319,P30613-2,FCER1A,PKLR,1.12983556602581e-06,0.0001199388485713,0.999878931315862,False
2205,100509457,P12319,Q08AS3,FCER1A,LOC100509457,8.72129894385738e-06,0.0006615904752231,0.999329688225833,False
2205,5645,P12319,P07478,FCER1A,PRSS2,0.0003323596460991,0.163203302925273,0.836464337428628,False
2205,23141,P12319,Q86XL3,FCER1A,ANKLE2,3.97414535513e-05,0.0106172019920014,0.989343056554447,False
2205,79877,P12319,Q8WVC6,FCER1A,DCAKD,0.000124049073022,0.0441699003428835,0.955706050584095,False
29960,57505,Q9UI43,Q5JTZ9,FTSJ2,AARS2,0.0304520489289866,0.179415987538591,0.790131963532422,False
29960,51103,Q9UI43,Q9Y375,FTSJ2,NDUFAF1,4.760803208495241e-10,0.0029995385708137,0.997000460953106,False
29960,87178,Q9UI43,Q8TCS8,FTSJ2,PNPT1,1.87915927206437e-09,0.0011854748069222,0.998814523313919,False
29960,51001,Q9UI43,Q96E29-2,FTSJ2,MTERFD1,2.42400611774728e-13,0.0500096493776137,0.949990350622144,False
29960,80324,Q9UI43,Q9Y606-2,FTSJ2,PUS1,1.45252960776926e-08,7.78179090855021e-08,0.999999907656795,False
29960,51654,Q9UI43,Q96SZ6-2,FTSJ2,CDK5RAP1,2.5521218062394296e-11,8.6255293756268e-08,0.999999913719185,False
29960,55157,Q9UI43,Q6PI48,FTSJ2,DARS2,2.00485879751303e-06,1.68732516802e-05,0.999981121889522,False
29960,64745,Q9UI43,Q9H7H0-2,FTSJ2,METTL17,0.0700630938336796,0.0119625495819239,0.917974356584396,False
29960,197322,Q9UI43,Q4G176,FTSJ2,ACSF3,2.41185376050947e-08,0.0008067767595092,0.999193199121953,False
29960,54948,Q9UI43,Q9NX20,FTSJ2,MRPL16,1.2073784036470601e-09,9.93297183476e-05,0.999900669074274,False
29960,80221,Q9UI43,Q96CM8,FTSJ2,ACSF2,0.0005194561930959,0.202065331122679,0.797415212684225,False
29960,92399,Q9UI43,Q96E11-2,FTSJ2,MRRF,3.42821947956155e-08,1.41563031146376e-07,0.999999824154774,False
29960,92667,Q9UI43,Q9BQP7,FTSJ2,C20orf72,0.0043133265969975,0.0452815532250919,0.95040512017791,False
29960,55217,Q9UI43,Q9NVH6,FTSJ2,TMLHE,5.32001909219861e-11,1.4648714265603e-06,0.999998535075373,False
8939,10954,Q96I24-2,Q14554,FUBP3,PDIA5,2.5981861917925698e-11,0.0303107076880845,0.969689292285934,False
8939,90316,Q96I24-2,Q8IUE1,FUBP3,TGIF2LX,4.6480590949883e-12,0.0055446463653161,0.994455353630036,False
50614,80004,Q9HCQ5-2,Q9H6T0-2,GALNT9,ESRP2,4.1909505566597496e-11,0.149012168011976,0.850987831946114,False
50614,374897,Q9HCQ5-2,E9PBV3,GALNT9,SBSN,1.7609997182724399e-13,0.0909397290125318,0.909060270987292,False
50614,79598,Q9HCQ5-2,Q8IW35-2,GALNT9,CEP97,1.1248119000259298e-11,0.0001125024760141,0.999887497512738,False
50614,145264,Q9HCQ5-2,Q8IW75,GALNT9,SERPINA12,1.4817851264783e-10,0.0016283928985073,0.998371606953314,False
50614,84659,Q9HCQ5-2,Q9H1E1,GALNT9,RNASE7,1.66732629742175e-07,0.0380835045619502,0.96191632870542,False
50614,55871,Q9HCQ5-2,Q9BRT8,GALNT9,CBWD1,5.98476341441707e-10,0.0128934736175609,0.987106525783963,False
50614,79596,Q9HCQ5-2,Q5W0B1,GALNT9,RNF219,1.4290760712566e-12,0.0025353423137847,0.997464657684786,False
50614,51200,Q9HCQ5-2,Q9UI42,GALNT9,CPA4,0.0212287396464785,4.87458107707849e-07,0.978770772895414,False
50614,121214,Q9HCQ5-2,Q8NEX9,GALNT9,SDR9C7,2.93071177739243e-08,0.0013631613355088,0.998636809357373,False
50614,128239,Q9HCQ5-2,Q86VI3,GALNT9,IQGAP3,1.60534937227056e-08,0.0066839755514552,0.993316008395051,False
50614,51433,Q9HCQ5-2,Q9UJX4,GALNT9,ANAPC5,2.03435502466674e-12,9.34595312909732e-06,0.999990654044836,False
50614,63922,Q9HCQ5-2,Q8WVB6-2,GALNT9,CHTF18,2.7260451140517497e-12,7.01706860361e-05,0.999929829311238,False
50614,55072,Q9HCQ5-2,Q96EP0-3,GALNT9,RNF31,4.13782694249406e-07,0.162780878927896,0.83721870728941,False
50614,59344,Q9HCQ5-2,Q9BYJ1,GALNT9,ALOXE3,2.47998678996814e-07,0.0010139183097123,0.998985833691609,False
50614,57139,Q9HCQ5-2,Q3MIN7,GALNT9,RGL3,4.57496931326e-05,0.0296560599354202,0.970298190371447,False
50614,80347,Q9HCQ5-2,Q13057-2,GALNT9,COASY,3.09679612757553e-11,0.0350794874789285,0.964920512490104,False
50614,65082,Q9HCQ5-2,Q96AX1,GALNT9,VPS33A,9.82449902753359e-08,0.211215216056325,0.788784685698684,False
50614,399664,Q9HCQ5-2,Q86XN8-2,GALNT9,MEX3D,3.70735516437589e-15,0.190644090626904,0.809355909373092,False
50614,448834,Q9HCQ5-2,Q5T749,GALNT9,KPRP,7.677233081553119e-11,0.0632587699522751,0.936741229970953,False
3487,11188,P22692,Q9Y2I1,IGFBP4,NISCH,1.7952517326395402e-09,0.0001071029236362,0.999892895281112,False
3487,10536,P22692,Q8IVL6,IGFBP4,LEPREL2,1.71303749840226e-09,0.24463620847888,0.755363789808082,False
3487,84926,P22692,Q8NCJ5,IGFBP4,SPRYD3,0.0002440845012639,0.0315266097233316,0.968229305775404,False
3487,221806,P22692,Q8N2E2,IGFBP4,VWDE,0.0002437579126043,0.0014193067154926,0.998336935371903,False
3487,23304,P22692,Q8IWV8-4,IGFBP4,UBR2,0.0001131186207135,0.208691066103947,0.79119581527534,False
3487,84861,P22692,Q53GT1,IGFBP4,KLHL22,8.07993240947e-05,5.50635634176707e-06,0.999913694319563,False
3487,200933,P22692,P0C2W1,IGFBP4,FBXO45,0.155931925083805,0.0001446345609298,0.843923440355265,False
3487,90293,P22692,Q9P2N7-2,IGFBP4,KLHL13,0.0965206222120964,0.0003334675806388,0.903145910207265,False
3487,55958,P22692,Q9P2J3,IGFBP4,KLHL9,1.1025932157e-05,0.003422985440568,0.996565988627275,False
3487,23765,P22692,Q96F46,IGFBP4,IL17RA,0.0070719441143511,0.003383216531854,0.989544839353795,False
3487,4853,P22692,Q04721,IGFBP4,NOTCH2,3.09942773395e-05,7.44289635275522e-07,0.999968261433025,False
3487,4851,P22692,P46531,IGFBP4,NOTCH1,2.14244052902e-05,0.154956818917062,0.845021756677648,False
55554,79143,Q9H2R5,Q96N66-2,KLK15,MBOAT7,1.63320019733581e-14,0.0678182126748047,0.932181787325179,False
55554,163590,Q9H2R5,Q8NFQ8,KLK15,TOR1AIP2,0.0411332815500708,0.0018772389090145,0.956989479540915,False
55554,59342,Q9H2R5,Q9HB40-2,KLK15,SCPEP1,5.24487644864e-05,3.8318913061334e-07,0.999947168046383,False
55554,66005,Q9H2R5,Q9BWS9-3,KLK15,CHID1,0.0001691131635017,0.194917515246991,0.804913371589507,False
55554,64222,Q9H2R5,Q9H497,KLK15,TOR3A,0.0005937391700305,7.72670652792673e-06,0.999398534123441,False
55554,55761,Q9H2R5,Q96AE7,KLK15,TTC17,0.0029807346861051,0.0003376112923918,0.996681654021503,False
55554,57326,Q9H2R5,Q96AQ6-2,KLK15,PBXIP1,6.51297869592114e-13,0.177887749227251,0.822112250772098,False
55554,170384,Q9H2R5,Q495W5-2,KLK15,FUT11,2.4811349070302997e-12,0.0107739867721073,0.989226013225411,False
55554,65123,Q9H2R5,Q68E01-2,KLK15,INTS3,1.0255921809466401e-09,0.0003857990714627,0.999614199902945,False
55554,89944,Q9H2R5,Q8IW92,KLK15,GLB1L2,1.35060848064825e-13,0.115993921165187,0.884006078834678,False
55554,57521,Q9H2R5,Q8N122,KLK15,RPTOR,1.37332246038113e-10,0.0113041252611002,0.988695874601568,False
55554,90161,Q9H2R5,Q96MM7-2,KLK15,HS6ST2,1.55701205072933e-06,0.0305086383854141,0.969489804602535,False
55554,221806,Q9H2R5,Q8N2E2,KLK15,VWDE,4.58581182888168e-14,0.0035227983288168,0.996477201671137,False
55554,79070,Q9H2R5,Q6UW63,KLK15,KDELC1,0.0262499502967995,0.0085097031870239,0.965240346516177,False
55554,84197,Q9H2R5,Q9H5K3,KLK15,SGK196,9.633906306554741e-14,0.0001461688990349,0.999853831100869,False
